ID_Venda;Data_Venda;ID_Cliente;ID_Produto;ID_Cidade;Quantidade;Preco_Unitario;Custo_Unitario;Receita;Desconto;Canal_Venda;Forma_Pagamento;Lucro_Real;Lucro_Real_1
8198;2025-04-10;17185;1;1;2;49.06;26.77;98.12;17.66;Marketplace;Crédito;9.260000000000005;26.92000000000001
8199;2025-04-20;4521;20;5;7;48.51;32.55;339.57;35.96;Site;Crédito;-140.0;75.76000000000005
8200;2025-08-25;999999;51;3;1;290.86;242.1;290.86;36.73;Marketplace;Débito;12.03000000000003;12.03000000000003
8201;2025-02-07;3603;1;7;1;55.21;27.23;55.21;9.94;Marketplace;Boleto;18.040000000000003;18.040000000000003
8202;2025-08-17;2823;47;6;2;264.59;242.1;529.18;95.25;Marketplace;PIX;-145.52000000000004;-50.27000000000004
8203;2026-05-17;8177;38;8;1;51.19;32.34;51.19;9.21;Loja Física;Crédito;9.639999999999993;9.639999999999993
8204;2024-07-03;6360;33;5;3;55.04;26.6;165.12;21.79;Marketplace;PIX;19.94999999999999;63.53
8205;2024-06-02;3855;58;2;4;164.8;89.81;659.2;76.57;Site;Crédito;-6.319999999999936;223.3900000000001
8207;2025-11-18;13767;39;8;1;48.48;31.02;48.48;8.73;Marketplace;Crédito;8.73;8.73
8208;2025-05-18;4679;1;6;4;53.17;27.09;212.68;4.43;Marketplace;Boleto;86.60000000000001;99.89
8209;2024-12-26;775;33;10;2;47.44;25.81;94.88;17.08;Marketplace;PIX;9.100000000000001;26.18
8210;2026-02-27;19589;1;7;3;51.47;26.0;154.41;27.79;Marketplace;Boleto;-6.960000000000008;48.620000000000005
8211;2024-06-26;663;58;9;6;162.5;78.42;975.0;42.06;Marketplace;Crédito;252.12;462.4200000000001
8212;2025-02-24;19461;3;7;2;372.35;255.83;744.7;134.05;App;PIX;-35.06;98.99000000000007
8213;2025-09-09;8948;12;3;2;314.41;283.83;628.82;113.19;Marketplace;PIX;-165.2199999999999;-52.02999999999986
8214;2024-09-30;18488;39;6;1;52.06;29.49;52.06;9.37;Site;Crédito;13.200000000000006;13.200000000000006
8215;2024-07-29;11792;1;7;1;47.91;26.57;47.91;8.62;Marketplace;PIX;12.719999999999999;12.719999999999999
8216;2024-10-28;17688;39;2;3;49.95;31.46;149.85;26.97;Site;PIX;-25.439999999999984;28.50000000000003
8217;2025-04-01;9991;39;3;3;47.55;35.11;142.65;14.46;Site;Crédito;-6.0600000000000165;22.85999999999997
8218;2024-07-02;210;35;4;2;35.58;28.29;71.16;12.81;Marketplace;PIX;-11.040000000000006;1.769999999999996
8219;2026-05-09;17006;57;10;3;37.97;27.31;113.91;14.62;Marketplace;Boleto;-11.879999999999981;17.36
8220;2024-06-28;12172;9;6;1;50.54;23.59;50.54;9.1;Site;Boleto;17.849999999999998;17.849999999999998
8221;2024-11-08;17372;1;1;1;47.0;27.85;47.0;7.57;App;PIX;11.579999999999998;11.579999999999998
8222;2025-12-22;17180;23;9;1;289.5;254.59;289.5;52.11;Marketplace;PIX;-17.200000000000017;-17.200000000000017
8223;2024-07-29;13362;20;5;2;42.76;28.93;85.52;4.56;Marketplace;Crédito;18.539999999999992;23.099999999999994
8224;2024-07-23;11532;33;7;1;49.85;25.21;49.85;3.97;App;Crédito;20.67;20.67
8225;2025-01-13;2381;2;9;4;335.48;305.98;1341.92;36.21;Marketplace;Boleto;-26.839999999999918;81.78999999999996
8226;2026-05-28;5182;5;9;3;162.27;77.02;486.81;78.2;Site;PIX;21.150000000000034;177.55000000000007
8227;2025-08-06;13320;5;1;4;171.94;78.0;687.76;84.3;Marketplace;Crédito;38.56;291.46000000000004
8228;2024-09-04;4454;49;1;3;196.15;118.88;588.45;36.32;Marketplace;Crédito;122.85000000000002;195.49
8229;2025-10-04;10732;39;3;1;46.66;33.69;46.66;8.4;Site;PIX;4.57;4.57
8230;2025-11-07;19778;9;6;1;45.7;22.64;45.7;1.62;Site;PIX;21.440000000000005;21.440000000000005
8231;2025-10-05;8747;20;2;1;44.71;29.82;44.71;5.14;Marketplace;Crédito;9.75;9.75
8232;2025-04-22;12805;40;10;2;117.39;93.83;234.78;19.76;Site;PIX;7.599999999999994;27.360000000000014
8233;2025-06-11;4446;38;1;6;45.27;28.25;271.62;11.98;App;Débito;30.240000000000038;90.13999999999999
8234;2025-05-09;12435;33;1;3;52.64;26.96;157.92;28.43;Site;Boleto;-8.25;48.610000000000014
8236;2024-10-25;5544;47;4;1;284.42;265.16;284.42;20.51;Site;Crédito;-1.25;-1.25
8237;2025-11-05;6686;35;1;5;33.91;27.92;169.55;5.74;Site;PIX;1.2499999999999432;24.20999999999995
8238;2026-02-07;16528;24;4;2;51.2;30.54;102.4;11.97;App;Crédito;17.38000000000001;29.35000000000001
8239;2025-04-02;10292;47;3;1;292.11;247.0;292.11;52.58;Site;Crédito;-7.46999999999997;-7.46999999999997
8240;2024-06-02;19324;33;2;4;50.04;25.13;200.16;11.1;Marketplace;Crédito;55.239999999999995;88.54
8241;2025-08-01;7470;25;9;2;44.22;31.61;88.44;1.87;Site;Boleto;21.480000000000004;23.349999999999994
8242;2026-03-22;8535;33;1;4;50.6;25.47;202.4;36.43;Site;PIX;-45.19999999999999;64.09
8243;2024-09-13;7233;58;7;3;165.11;78.21;495.33;32.94;Marketplace;Crédito;161.88000000000005;227.76000000000005
8245;2026-01-05;4538;38;5;2;51.74;27.64;103.48;18.63;Marketplace;PIX;10.939999999999998;29.570000000000007
8246;2025-10-08;12607;39;10;2;49.39;30.18;98.78;17.78;Site;PIX;2.8599999999999994;20.64
8247;2024-11-19;15889;9;5;1;47.27;25.21;47.27;2.95;Marketplace;Crédito;19.11;19.11
8248;2025-04-13;19673;35;1;5;33.94;25.81;169.7;15.84;Site;Crédito;-38.55;24.810000000000002
8249;2024-09-18;926;20;6;7;43.39;32.08;303.73;28.28;App;PIX;-118.79;50.89000000000004
8252;2025-02-27;17502;45;7;8;173.79;82.55;1390.32;96.17;Loja Física;Crédito;-39.440000000000055;633.7499999999999
8253;2024-06-07;3731;40;6;1;118.99;98.24;118.99;21.42;Marketplace;PIX;-0.6700000000000017;-0.6700000000000017
8254;2025-01-21;16862;45;5;1;163.07;74.2;163.07;29.35;Site;PIX;59.519999999999996;59.519999999999996
8255;2026-04-07;11247;25;4;2;52.06;35.95;104.12;16.44;Marketplace;Crédito;-0.6599999999999966;15.780000000000001
8256;2024-07-27;7538;51;4;2;295.32;249.73;590.64;106.32;App;PIX;-121.45999999999998;-15.139999999999986
8257;2024-10-14;11938;57;6;6;41.85;27.33;251.1;2.54;Marketplace;Crédito;71.88000000000002;84.58000000000004
8259;2025-05-06;9359;34;5;2;470.54;315.27;941.08;69.08;Site;PIX;172.3800000000001;241.46000000000004
8260;2024-10-21;10500;39;6;3;48.91;29.74;146.73;11.87;App;Crédito;21.900000000000006;45.639999999999986
8261;2025-03-22;9706;51;5;3;305.72;247.97;917.16;133.49;Marketplace;PIX;-227.2199999999999;39.760000000000105
8262;2026-02-28;14256;46;7;1;379.78;275.82;379.78;68.36;Marketplace;PIX;35.599999999999966;35.599999999999966
8264;2025-03-23;14749;46;10;1;368.79;288.45;368.79;58.41;Marketplace;Crédito;21.930000000000007;21.930000000000007
8265;2026-03-17;6827;49;7;2;194.58;125.74;389.16;21.79;App;PIX;94.10000000000005;115.89000000000001
8266;2024-09-30;709;20;7;2;41.45;31.84;82.9;2.52;Marketplace;Crédito;14.18;16.70000000000001
8267;2026-04-09;8916;5;4;3;172.39;76.79;517.17;93.09;Site;Boleto;7.529999999999944;193.70999999999992
8269;2024-08-19;12312;51;8;1;297.15;242.77;297.15;53.49;Site;Crédito;0.8899999999999579;0.8899999999999579
8270;2026-05-10;13830;38;4;2;51.69;27.98;103.38;18.61;Site;Crédito;10.199999999999996;28.809999999999995
8271;2025-08-09;3960;1;1;2;53.93;24.0;107.86;19.41;Marketplace;Crédito;21.039999999999992;40.45
8275;2024-07-19;15010;20;8;5;47.45;32.8;237.25;17.08;Site;PIX;-12.149999999999977;56.170000000000016
8276;2025-10-20;18945;58;8;5;152.63;83.53;763.15;91.87;Site;PIX;-113.85000000000002;253.63
8277;2026-01-14;17035;1;3;1;53.75;26.78;53.75;9.67;Site;Débito;17.299999999999997;17.299999999999997
8278;2025-05-24;17482;31;9;4;202.92;109.91;811.68;128.42;Site;Débito;-141.64;243.62
8280;2025-06-02;14149;31;1;2;185.16;95.96;370.32;12.79;Marketplace;PIX;152.82000000000002;165.60999999999999
8281;2026-06-12;12401;39;2;2;52.18;35.28;104.36;12.23;Marketplace;PIX;9.340000000000003;21.569999999999993
8284;2025-11-21;479;38;2;1;48.36;30.04;48.36;4.79;Marketplace;PIX;13.530000000000001;13.530000000000001
8286;2025-03-12;19368;57;1;3;41.7;27.37;125.1;1.36;App;Crédito;38.91000000000001;41.63000000000001
8287;2025-03-08;12532;39;1;1;42.95;30.34;42.95;7.73;Site;Crédito;4.879999999999999;4.879999999999999
8288;2025-03-14;16334;57;5;1;43.19;31.21;43.19;7.77;Marketplace;Boleto;4.210000000000001;4.210000000000001
8289;2024-07-12;1662;43;10;1;349.18;297.98;349.18;3.63;Marketplace;Boleto;47.56999999999999;47.56999999999999
8290;2025-12-16;12443;49;9;3;199.47;121.69;598.41;34.32;Site;Crédito;130.38000000000005;199.01999999999992
8291;2024-06-03;10595;35;8;1;35.37;28.37;35.37;6.37;Loja Física;Débito;0.6299999999999955;0.6299999999999955
8292;2025-10-12;18767;16;3;1;266.36;107.55;266.36;47.94;Site;Débito;110.87000000000002;110.87000000000002
8293;2026-03-18;8945;1;3;5;48.96;24.57;244.8;5.1;Marketplace;PIX;96.45000000000002;116.85000000000002
8294;2025-02-04;4266;33;1;1;53.94;27.98;53.94;9.71;Marketplace;PIX;16.249999999999996;16.249999999999996
8295;2026-06-19;14066;25;3;3;47.83;29.99;143.49;25.83;App;Crédito;-23.97;27.690000000000012
8296;2026-03-11;4490;24;1;5;50.29;28.83;251.45;30.04;App;PIX;-42.89999999999998;77.26000000000002
8297;2024-10-26;6767;24;8;1;56.88;31.93;56.88;3.74;Site;Crédito;21.21;21.21
8299;2025-09-13;8271;57;5;2;41.41;26.59;82.82;6.55;Marketplace;Crédito;16.54;23.089999999999996
8300;2024-11-24;14807;25;9;3;53.43;29.93;160.29;27.6;App;Débito;-12.299999999999997;42.900000000000006
8301;2024-06-10;18366;31;7;6;197.5;101.3;1185.0;201.56;App;Crédito;-632.16;375.6400000000001
8303;2025-10-24;3702;23;9;2;274.19;246.3;548.38;35.02;Site;PIX;-14.260000000000048;20.75999999999999
8304;2026-03-11;9898;60;9;2;257.14;118.03;514.28;19.17;Marketplace;Débito;239.87999999999994;259.04999999999995
8305;2025-12-06;18667;57;2;6;43.12;30.37;258.72;17.09;Marketplace;Crédito;-26.04000000000002;59.40999999999997
8306;2025-02-28;18901;49;10;3;212.39;119.94;637.17;74.26;Marketplace;PIX;54.56999999999999;203.08999999999997
8307;2025-04-13;93;20;10;5;45.82;29.2;229.1;17.07;Marketplace;Crédito;-2.25;66.03
8308;2025-04-12;17638;1;6;1;49.53;24.17;49.53;7.19;Marketplace;PIX;18.17;18.17
8310;2026-01-28;18139;35;8;7;38.85;28.15;271.95;14.63;Site;Crédito;-27.50999999999999;60.27000000000001
8313;2024-08-17;999999;24;10;1;57.96;28.8;57.96;0.23;Marketplace;Crédito;28.930000000000003;28.930000000000003
8314;2025-04-09;7850;58;9;2;146.44;88.3;292.88;52.72;Site;Boleto;10.840000000000003;63.56
8315;2025-09-02;6004;33;5;6;49.3;27.84;295.8;18.36;Marketplace;Crédito;18.599999999999994;110.39999999999995
8316;2024-09-08;4945;46;6;3;336.76;291.08;1010.28;181.85;Marketplace;Crédito;-408.51;-44.81000000000006
8318;2025-10-22;17602;49;6;5;193.55;117.44;967.75;55.6;Site;Crédito;102.55000000000007;324.94999999999993
8319;2024-08-01;10594;5;2;1;171.9;80.25;171.9;30.94;App;Crédito;60.71000000000001;60.71000000000001
8320;2025-11-25;16086;35;6;2;38.61;28.74;77.22;1.07;Site;PIX;17.6;18.67000000000001
8321;2025-12-04;12491;38;9;2;43.5;28.47;87.0;12.18;Marketplace;PIX;5.700000000000003;17.879999999999995
8322;2026-06-01;7183;38;8;1;47.91;27.17;47.91;0.59;Site;Crédito;20.14999999999999;20.14999999999999
8323;2025-05-12;13124;58;9;1;164.33;74.97;164.33;2.34;Marketplace;PIX;87.02000000000001;87.02000000000001
8325;2024-06-11;10340;33;8;3;47.25;29.11;141.75;12.47;Marketplace;PIX;17.010000000000005;41.95
8326;2024-07-15;7203;9;3;7;47.11;24.54;329.77;6.97;App;PIX;109.20000000000002;151.01999999999995
8328;2024-07-03;999999;35;6;1;39.24;25.37;39.24;7.06;App;Crédito;6.809999999999999;6.809999999999999
8329;2025-10-31;15104;39;6;2;49.24;34.5;98.48;17.73;App;Crédito;-5.979999999999997;11.75
8330;2024-07-28;18383;57;6;3;37.99;30.63;113.97;20.51;Site;PIX;-39.45;1.5699999999999932
8331;2025-09-29;16970;5;3;2;149.5;86.3;299.0;53.82;Site;Boleto;18.76000000000002;72.58000000000001
8332;2025-05-05;14245;9;10;2;47.86;24.37;95.72;17.23;Site;Crédito;12.519999999999996;29.749999999999993
8333;2024-12-03;6558;2;1;1;312.0;287.08;312.0;56.16;App;PIX;-31.23999999999998;-31.23999999999998
8335;2024-09-01;10485;5;10;2;162.31;85.4;324.62;58.43;App;PIX;36.95999999999998;95.38999999999999
8336;2025-10-17;9443;9;6;2;48.47;25.8;96.94;17.45;Site;PIX;10.439999999999998;27.889999999999993
8337;2026-02-12;10991;5;10;3;158.31;81.54;474.93;85.49;Loja Física;Crédito;-26.159999999999968;144.82
8338;2024-07-22;11059;47;2;1;272.17;284.56;272.17;48.99;Site;Crédito;-61.379999999999995;-61.379999999999995
8339;2024-08-30;9159;3;7;2;393.34;231.08;786.68;21.62;Site;Crédito;281.2799999999999;302.8999999999999
8340;2026-01-20;8046;35;7;6;34.3;27.77;205.8;3.37;App;PIX;18.95999999999998;35.809999999999974
8341;2024-12-27;16077;57;4;1;43.01;28.49;43.01;7.74;App;PIX;6.779999999999998;6.779999999999998
8342;2024-10-18;18895;20;4;1;47.77;34.25;47.77;5.8;Site;Débito;7.720000000000006;7.720000000000006
8344;2024-10-22;17662;35;2;1;35.98;28.04;35.98;6.48;Site;Crédito;1.4599999999999973;1.4599999999999973
8345;2025-04-24;7403;39;9;4;47.07;29.36;188.28;23.43;Loja Física;Crédito;-22.879999999999995;47.41
8346;2024-09-27;16020;40;10;4;124.43;89.98;497.72;4.92;App;PIX;118.12;132.88
8347;2024-06-02;8956;57;8;2;36.88;30.6;73.76;2.08;App;Débito;8.400000000000006;10.480000000000004
8348;2025-09-05;13054;25;8;3;50.81;30.83;152.43;24.9;Marketplace;PIX;-14.759999999999977;35.040000000000006
8349;2025-07-02;5774;9;9;1;44.41;23.85;44.41;7.99;Site;Crédito;12.569999999999993;12.569999999999993
8351;2026-04-05;14782;20;9;2;44.14;31.37;88.28;10.49;App;Crédito;4.559999999999995;15.050000000000004
8352;2024-09-16;4714;60;10;1;272.27;109.17;272.27;28.58;Marketplace;Boleto;134.51999999999998;134.51999999999998
8354;2024-06-08;7592;40;6;4;130.36;93.62;521.44;93.86;Site;Crédito;-228.47999999999996;53.10000000000002
8355;2024-09-02;10304;20;3;6;45.2;30.11;271.2;21.66;Marketplace;Boleto;-39.41999999999999;68.88000000000005
8356;2026-03-17;10070;43;6;1;306.9;293.17;306.9;55.24;Marketplace;Boleto;-41.51000000000005;-41.51000000000005
8357;2025-10-14;5548;57;3;5;39.97;30.67;199.85;15.8;Marketplace;Crédito;-32.50000000000003;30.69999999999996
8358;2025-08-09;3163;35;8;2;38.83;28.65;77.66;13.98;Site;Crédito;-7.600000000000001;6.3799999999999955
8359;2025-06-28;11228;39;4;2;49.56;34.32;99.12;1.41;Marketplace;Crédito;27.66000000000001;29.070000000000007
8360;2024-09-19;15406;24;10;1;48.37;32.46;48.37;1.06;Marketplace;PIX;14.849999999999994;14.849999999999994
8362;2026-01-23;13975;20;9;1;41.02;32.91;41.02;7.38;Marketplace;PIX;0.730000000000004;0.730000000000004
8364;2025-01-20;4382;40;2;1;139.38;95.34;139.38;25.09;Site;Crédito;18.94999999999999;18.94999999999999
8365;2025-08-04;5956;33;7;1;52.15;25.27;52.15;9.39;Site;Boleto;17.49;17.49
8366;2026-03-18;6504;57;2;2;38.69;30.69;77.38;10.28;App;Crédito;-4.560000000000009;5.719999999999992
8367;2025-07-29;9589;5;2;2;156.7;81.95;313.4;56.41;Site;PIX;36.67999999999998;93.09
8368;2025-04-15;760;25;4;2;47.25;29.91;94.5;17.01;App;PIX;0.6599999999999966;17.669999999999995
8371;2024-12-09;18344;9;2;1;50.44;23.22;50.44;9.08;Marketplace;Boleto;18.14;18.14
8372;2024-11-27;14174;9;8;1;50.86;24.46;50.86;9.15;Site;Crédito;17.25;17.25
8373;2024-11-19;5992;33;4;1;53.86;26.95;53.86;9.69;Marketplace;Crédito;17.220000000000002;17.220000000000002
8374;2026-06-01;18767;24;2;2;48.8;28.41;97.6;6.08;Site;Crédito;28.619999999999997;34.699999999999996
8375;2025-07-12;16710;45;10;3;160.19;82.81;480.57;57.78;Site;PIX;58.80000000000001;174.35999999999996
8378;2026-03-26;8606;9;10;2;45.58;26.07;91.16;16.41;Marketplace;PIX;6.199999999999996;22.61
8380;2026-01-21;3573;5;1;1;156.59;80.35;156.59;28.19;Site;Crédito;48.05000000000001;48.05000000000001
8381;2025-07-25;9571;46;2;2;356.54;287.73;713.08;128.35;Site;PIX;-119.07999999999998;9.269999999999982
8382;2025-07-02;10325;20;8;1;41.59;31.3;41.59;0.89;Marketplace;Crédito;9.400000000000002;9.400000000000002
8383;2026-06-03;3018;40;1;1;133.77;88.8;133.77;24.08;Site;Crédito;20.890000000000015;20.890000000000015
8384;2026-01-11;14892;9;3;1;45.9;25.1;45.9;4.34;App;PIX;16.46;16.46
8386;2026-05-07;9968;39;5;1;44.83;30.44;44.83;8.07;Site;Crédito;6.319999999999997;6.319999999999997
8387;2025-11-09;13975;5;4;1;160.89;77.95;160.89;28.96;Loja Física;Crédito;53.979999999999976;53.979999999999976
8388;2026-04-13;18379;24;7;3;55.13;32.28;165.39;29.77;Marketplace;Boleto;-20.75999999999999;38.78
8389;2025-11-21;16166;9;5;1;45.02;25.54;45.02;8.1;Site;PIX;11.380000000000003;11.380000000000003
8390;2025-11-19;19928;45;8;2;167.81;84.32;335.62;8.39;Marketplace;Boleto;150.20000000000005;158.59000000000003
8391;2025-01-09;3850;25;4;5;50.68;35.34;253.4;25.28;Site;Crédito;-49.70000000000002;51.41999999999999
8392;2025-11-24;19957;38;6;3;43.38;32.11;130.14;3.96;Marketplace;PIX;21.930000000000007;29.850000000000023
8393;2025-06-08;10944;9;4;2;44.92;23.48;89.84;16.17;Loja Física;Crédito;10.54;26.71
8394;2026-03-01;4504;25;2;1;47.71;32.16;47.71;5.64;Site;Boleto;9.910000000000004;9.910000000000004
8396;2024-07-21;15625;25;1;1;44.53;30.12;44.53;8.02;Site;Crédito;6.390000000000004;6.390000000000004
8397;2025-04-24;16769;24;8;1;52.61;32.57;52.61;9.47;Site;PIX;10.57;10.57
8398;2026-01-28;10047;57;4;7;37.28;30.2;260.96;13.49;Site;PIX;-44.870000000000005;36.07000000000002
8399;2025-05-28;253;25;5;1;51.97;31.91;51.97;2.79;App;PIX;17.27;17.27
8400;2025-07-09;9890;40;8;3;125.15;90.03;375.45;67.58;Loja Física;Crédito;-97.38;37.78000000000003
8401;2025-12-24;6538;2;7;1;309.67;288.7;309.67;51.82;Site;Débito;-30.849999999999966;-30.849999999999966
8403;2025-01-21;3373;20;8;2;40.81;34.21;81.62;14.69;Site;PIX;-16.179999999999993;-1.4899999999999949
8406;2025-11-30;18036;13;2;1;364.13;244.53;364.13;65.54;Marketplace;PIX;54.059999999999974;54.059999999999974
8408;2026-04-12;18856;57;1;2;35.84;29.52;71.68;8.03;Marketplace;PIX;-3.4199999999999946;4.6100000000000065
8409;2024-09-18;1004;58;1;4;150.45;78.06;601.8;45.07;Site;Boleto;109.27999999999997;244.4899999999999
8410;2026-03-16;16421;39;3;4;46.32;33.19;185.28;8.87;Marketplace;Crédito;17.04000000000002;43.650000000000006
8411;2025-09-13;17602;24;3;2;51.24;33.08;102.48;6.43;Site;Boleto;23.460000000000008;29.890000000000015
8412;2025-05-25;4285;38;5;2;43.01;29.64;86.02;15.48;Loja Física;Débito;-4.220000000000006;11.259999999999991
8413;2024-12-02;10694;20;1;1;41.99;32.37;41.99;7.56;Marketplace;Crédito;2.0600000000000023;2.0600000000000023
8414;2025-11-08;4252;13;10;2;366.35;293.73;732.7;131.89;Site;Crédito;-118.53999999999996;13.350000000000023
8415;2025-09-02;7285;24;6;2;49.04;29.64;98.08;17.65;Marketplace;Débito;3.5;21.150000000000006
8417;2026-01-06;13486;25;10;4;45.07;32.72;180.28;12.52;App;Crédito;-0.6800000000000068;36.879999999999995
8418;2026-01-28;12575;13;3;1;371.61;252.56;371.61;66.89;Site;Crédito;52.160000000000025;52.160000000000025
8419;2024-08-27;4214;5;4;3;167.1;87.67;501.3;34.3;App;PIX;135.39000000000004;203.98999999999995
8420;2024-09-01;1129;1;10;7;49.17;27.71;344.19;49.87;Marketplace;Crédito;-198.86999999999998;100.35
8421;2026-02-02;2238;9;10;8;49.41;23.41;395.28;3.81;Site;Débito;177.51999999999995;204.18999999999997
8422;2026-01-29;15751;9;10;4;46.41;26.32;185.64;6.14;Marketplace;PIX;55.79999999999998;74.22
8423;2026-03-01;3940;20;10;4;48.59;28.78;194.36;2.56;Marketplace;Crédito;69.0;76.68
8424;2024-09-09;18909;39;10;4;46.14;29.41;184.56;10.66;Marketplace;Crédito;24.280000000000015;56.260000000000005
8425;2026-03-03;15716;47;3;3;281.68;283.37;845.04;8.5;Marketplace;Boleto;-30.57000000000005;-13.57000000000005
8426;2025-01-23;15938;25;1;1;50.86;30.86;50.86;3.5;Marketplace;PIX;16.5;16.5
8427;2025-12-01;19510;39;8;1;48.27;31.52;48.27;8.69;Marketplace;PIX;8.060000000000006;8.060000000000006
8430;2026-04-26;19904;1;2;2;53.21;26.14;106.42;18.86;Marketplace;Crédito;16.42;35.28
8431;2026-04-05;6355;35;1;6;38.67;24.24;232.02;14.9;Marketplace;PIX;-2.819999999999993;71.68
8432;2025-08-16;7542;24;8;1;57.98;30.37;57.98;10.44;Site;Crédito;17.169999999999998;17.169999999999998
8435;2026-04-21;712;60;4;2;271.07;110.65;542.14;59.85;Loja Física;Débito;201.14;260.98999999999995
8436;2024-11-12;4642;48;9;1;300.32;111.95;300.32;54.06;Marketplace;Débito;134.31;134.31
8437;2026-02-16;6005;57;6;1;37.88;28.59;37.88;6.82;Site;Crédito;2.4700000000000024;2.4700000000000024
8438;2025-07-25;3145;60;2;2;253.57;105.49;507.14;91.29;Marketplace;PIX;113.57999999999996;204.86999999999998
8439;2025-07-05;4168;58;1;1;169.82;77.61;169.82;30.57;Site;PIX;61.64;61.64
8440;2024-09-06;1299;57;1;2;41.24;31.51;82.48;3.27;Marketplace;Débito;12.919999999999995;16.190000000000005
8441;2026-04-01;4332;25;9;3;49.96;29.96;149.88;26.98;Marketplace;PIX;-20.939999999999998;33.019999999999996
8443;2025-12-17;4442;20;5;2;44.98;32.7;89.96;16.19;Site;PIX;-7.8200000000000145;8.36999999999999
8444;2025-10-17;14178;20;3;1;42.92;33.26;42.92;7.73;Marketplace;PIX;1.9299999999999997;1.9299999999999997
8445;2025-03-13;18531;38;4;1;45.77;32.52;45.77;8.24;Marketplace;Boleto;5.009999999999998;5.009999999999998
8446;2025-11-21;2630;1;8;2;56.76;28.33;113.52;0.73;Site;PIX;55.400000000000006;56.129999999999995
8447;2025-01-07;5284;35;4;1;34.66;24.99;34.66;3.21;Site;PIX;6.459999999999997;6.459999999999997
8448;2024-05-21;11960;24;9;2;50.72;30.97;101.44;18.26;App;PIX;2.9799999999999898;21.239999999999995
8449;2024-12-09;13682;9;9;2;51.18;26.81;102.36;3.96;Marketplace;Crédito;40.82;44.78000000000001
8450;2026-02-28;16069;33;6;1;55.09;25.58;55.09;1.57;App;PIX;27.940000000000005;27.940000000000005
8451;2026-05-19;17438;24;2;1;51.31;30.25;51.31;2.36;Site;Crédito;18.700000000000003;18.700000000000003
8452;2026-01-27;12926;25;10;4;47.93;29.85;191.72;34.12;Marketplace;PIX;-64.16;38.19999999999999
8454;2025-07-25;10329;25;9;3;44.72;30.96;134.16;24.15;Site;PIX;-31.169999999999995;17.129999999999995
8455;2025-04-08;3653;51;6;2;301.19;230.66;602.38;108.43;Loja Física;PIX;-75.80000000000001;32.629999999999995
8456;2026-05-08;8853;58;3;3;162.09;83.3;486.27;11.07;Marketplace;PIX;203.16000000000008;225.3
8458;2026-03-07;6706;40;5;1;116.38;86.6;116.38;20.95;Marketplace;PIX;8.829999999999998;8.829999999999998
8459;2026-06-02;16198;35;1;2;36.23;24.19;72.46;10.84;Loja Física;Débito;2.3999999999999915;13.239999999999988
8461;2025-11-08;10591;60;5;1;244.38;106.48;244.38;43.99;Loja Física;Crédito;93.90999999999998;93.90999999999998
8462;2025-01-21;4443;25;7;3;45.1;33.8;135.3;9.42;App;PIX;5.640000000000001;24.480000000000018
8463;2026-02-16;17049;1;3;1;48.69;28.08;48.69;7.29;Marketplace;Crédito;13.32;13.32
8464;2024-10-22;3658;45;6;1;170.67;78.93;170.67;30.72;App;Débito;61.01999999999998;61.01999999999998
8465;2026-04-15;16502;48;5;3;300.8;115.72;902.4;162.43;Loja Física;Débito;67.95000000000005;392.81000000000006
8468;2026-02-06;3981;5;6;3;176.2;90.68;528.6;36.48;Site;PIX;147.11999999999995;220.07999999999987
8469;2025-02-10;11668;39;8;1;43.2;31.06;43.2;7.78;Marketplace;PIX;4.360000000000003;4.360000000000003
8470;2025-03-09;16767;20;1;2;48.83;34.05;97.66;2.57;Marketplace;Crédito;24.42;26.99000000000001
8471;2024-08-29;7622;38;2;6;43.79;31.84;262.74;23.38;Marketplace;PIX;-68.57999999999998;48.32000000000002
8472;2024-12-01;16519;45;4;2;169.33;75.01;338.66;46.98;Marketplace;Crédito;94.68000000000004;141.66
8473;2024-07-12;4005;1;2;1;48.28;27.72;48.28;8.69;Site;PIX;11.870000000000005;11.870000000000005
8474;2024-07-25;12883;38;9;1;49.17;27.2;49.17;4.89;Marketplace;Crédito;17.080000000000002;17.080000000000002
8477;2025-10-04;2829;40;8;1;140.68;96.36;140.68;25.32;Marketplace;Crédito;19.000000000000014;19.000000000000014
8479;2026-05-26;16430;25;5;3;46.16;30.04;138.48;24.93;Site;PIX;-26.430000000000014;23.42999999999998
8480;2024-12-19;1319;57;4;3;41.42;28.2;124.26;22.37;Loja Física;Crédito;-27.44999999999999;17.290000000000006
8481;2026-02-08;12673;43;9;2;311.05;310.32;622.1;8.37;Marketplace;PIX;-15.279999999999973;-6.909999999999968
8482;2026-01-27;5896;49;2;3;225.68;119.84;677.04;29.92;Marketplace;Boleto;227.76;287.6
8483;2026-03-20;3890;20;8;2;49.13;28.82;98.26;9.02;Loja Física;Débito;22.58;31.60000000000001
8484;2025-05-27;16827;39;2;2;47.27;30.6;94.54;5.23;Loja Física;Débito;22.88000000000001;28.11
8485;2024-12-18;12814;25;1;2;46.05;34.77;92.1;16.58;Site;PIX;-10.600000000000009;5.97999999999999
8486;2026-05-28;4519;20;10;1;43.51;30.85;43.51;7.83;App;PIX;4.829999999999998;4.829999999999998
8487;2025-07-30;4762;43;3;3;340.28;266.39;1020.84;183.75;Marketplace;PIX;-329.58000000000004;37.91999999999996
